Player,Team,Position,Total Snaps,Off Snaps,Off Snap Pct,Def Snaps,Def Snap Pct,ST Snaps,ST Snap Pct
51-E.Acho,PHI,LB,88,0,0.0%,23,1.9%,65,13.5%
10-M.McBriar,PIT,ST,88,0,0.0%,0,0.0%,88,18.4%
80-M.Floyd,SD,WR,88,88,7.9%,0,0.0%,0,0.0%
33-D.Carr,TB,DB,88,0,0.0%,0,0.0%,88,19.3%
29-C.Hayward,GB,DB,87,0,0.0%,87,8.3%,0,0.0%
66-T.Robinson,CIN,OL,87,75,6.6%,0,0.0%,12,2.6%
20-C.Butler,SD,DB,87,0,0.0%,24,2.4%,63,14.1%
18-M.Campbell,NYJ,WR,86,32,3.0%,0,0.0%,54,11.3%
2-D.Akers,DET,ST,85,0,0.0%,0,0.0%,85,18.0%
91-J.Jones,DET,DL,85,0,0.0%,85,8.2%,0,0.0%
57-N.Johnson,KC,LB,84,0,0.0%,17,1.5%,67,13.8%
15-B.Obomanu,NYJ,WR,83,41,3.9%,0,0.0%,42,8.8%
31-J.Dockery,CAR,DB,83,0,0.0%,17,1.7%,66,15.6%
46-D.Carrier,SF,TE,82,41,4.1%,0,0.0%,41,8.9%
75-R.Johnson,KC,OL,81,75,6.9%,0,0.0%,6,1.2%
92-T.Robertson,ATL,DL,81,0,0.0%,79,7.6%,2,0.4%
36-A.Smith,CAR,RB,81,8,0.8%,0,0.0%,73,17.3%
51-B.Jenkins,WAS,LB,81,0,0.0%,39,3.8%,42,8.8%
25-L.Asante,IND,DB,80,0,0.0%,0,0.0%,80,17.3%
29-B.Burton,BUF,DB,80,0,0.0%,17,1.5%,63,12.4%
49-J.Stanford,DET,LB,79,0,0.0%,0,0.0%,79,16.7%
10-M.Wilson,CHI,WR,79,75,7.1%,0,0.0%,4,0.8%
61-J.Vandervelde,PHI,OL,79,8,0.7%,0,0.0%,71,14.7%
13-N.Williams,WAS,WR,79,54,4.7%,0,0.0%,25,5.2%
54-V.Aiyewa,GB,LB,78,0,0.0%,0,0.0%,78,16.1%
18-K.Orton,DAL,QB,78,78,7.8%,0,0.0%,0,0.0%
64-E.Kush,KC,OL,78,73,6.8%,0,0.0%,5,1.0%
71-T.Scott,TB,DL,77,0,0.0%,54,5.1%,23,5.1%
29-W.Davis,MIA,DB,76,0,0.0%,65,5.7%,11,2.4%
66-T.Welch,BUF,OL,76,8,0.7%,0,0.0%,68,13.4%
2-M.Barkley,PHI,QB,76,76,6.9%,0,0.0%,0,0.0%
85-D.Johnson,PIT,TE,75,75,7.1%,0,0.0%,0,0.0%
78-M.Kuhn,NYG,DL,75,0,0.0%,10,0.9%,65,13.8%
46-K.Brock,KC,TE,75,75,6.9%,0,0.0%,0,0.0%
32-J.Pugh,WAS,DB,75,0,0.0%,16,1.6%,59,12.4%
66-D.Thomas,IND,OL,74,70,6.5%,0,0.0%,4,0.9%
4-A.Vinatieri,IND,ST,74,0,0.0%,0,0.0%,74,16.0%
64-C.Tupou,CHI,DL,74,0,0.0%,70,6.7%,4,0.8%
55-D.Connor,CAR,LB,74,0,0.0%,2,0.2%,72,17.1%
23-J.Banyard,MIN,RB,74,30,2.9%,0,0.0%,44,8.8%
5-G.Hartley,NO,ST,73,0,0.0%,0,0.0%,73,16.1%
83-K.Milton,CLE,TE,73,14,1.3%,0,0.0%,59,12.2%
96-C.Bilukidi,OAK,DL,72,0,0.0%,70,6.5%,2,0.4%
34-A.Bouye,HOU,DB,72,0,0.0%,1,0.1%,71,14.5%
43-B.Rainey,CLE,RB,72,55,5.0%,0,0.0%,17,3.5%
12-J.Freeman,MIN,QB,71,71,6.8%,0,0.0%,0,0.0%
20-D.Moore,CAR,DB,71,0,0.0%,57,5.6%,14,3.3%
33-T.Branch,OAK,DB,71,0,0.0%,64,6.0%,7,1.4%
44-M.Hill,TB,RB,71,18,1.7%,0,0.0%,53,11.6%
10-M.Flynn,OAK,QB,70,70,6.8%,0,0.0%,0,0.0%
56-M.Wilson,NO,LB,70,0,0.0%,41,4.2%,29,6.4%
45-Q.Johnson,TEN,FB,70,55,5.1%,0,0.0%,15,3.2%
68-T.Compton,WAS,OL,70,10,0.9%,0,0.0%,60,12.6%
10-G.Jenkins,OAK,WR,69,1,0.1%,0,0.0%,68,14.0%
91-C.Baker,MIN,DL,69,0,0.0%,57,4.9%,12,2.4%
84-J.Criner,OAK,WR,68,63,6.1%,0,0.0%,5,1.0%
62-J.Byers,CAR,OL,68,35,3.4%,0,0.0%,33,7.8%
91-R.Sapp,HOU,LB,68,0,0.0%,14,1.4%,54,11.0%
11-Q.Patton,SF,WR,68,60,6.1%,0,0.0%,8,1.7%
17-J.Bellamy,WAS,WR,68,0,0.0%,0,0.0%,68,14.3%
5-M.Simms,NYJ,QB,66,66,6.3%,0,0.0%,0,0.0%
59-D.Bishop,MIN,LB,66,0,0.0%,45,3.9%,21,4.2%
3-M.Bryant,ATL,ST,66,0,0.0%,0,0.0%,66,14.5%
63-G.Hangartner,CAR,OL,66,33,3.2%,0,0.0%,33,7.8%
71-L.Guy,IND,DL,65,0,0.0%,45,4.3%,20,4.3%
41-J.Grimes,HOU,RB,65,58,5.2%,0,0.0%,7,1.4%
54-N.Moody,SF,LB,65,0,0.0%,10,0.9%,55,12.0%
14-C.Hall,KC,WR,64,41,3.8%,0,0.0%,23,4.7%
44-T.Clutts,DAL,FB,64,47,4.7%,0,0.0%,17,3.6%
52-J.Beason,CAR,LB,64,0,0.0%,62,6.1%,2,0.5%
76-J.Reid,BAL,OL,64,22,1.9%,0,0.0%,42,8.5%
4-Z.Mesko,PIT,ST,63,0,0.0%,0,0.0%,63,13.2%
97-J.Hill,SEA,DL,63,0,0.0%,63,6.0%,0,0.0%
4-R.Lindell,TB,ST,63,0,0.0%,0,0.0%,63,13.8%
54-M.McFadden,OAK,LB,62,0,0.0%,0,0.0%,62,12.7%
37-C.Lewis-Harris,CIN,DB,62,0,0.0%,0,0.0%,62,13.3%
85-B.Tyms,CLE,WR,61,56,5.1%,0,0.0%,5,1.0%
86-C.Coffman,ATL,TE,61,28,2.6%,0,0.0%,33,7.2%
30-J.Vaughan,ATL,RB,61,5,0.5%,0,0.0%,56,12.3%
65-L.Taylor,GB,OL,61,14,1.2%,0,0.0%,47,9.7%
